sku,post_status,post_title,tags,stock,product_gallery,post_content,post_excerpt,category,manage_stock,stock_status,backorders,regular_price,weight,length,width,height,tax_status,tax_class,visibility,featured,featured_image,shipping_class,comment_status,ping_status,menu_order,change_stock,post_author
1004,private,1-10 Counting Owls Activity,Learning Resources,1,1_10_counting_owls_activity_2.jpg,Counting,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,1_10_counting_owls_activity_1.jpg,,open,open,,,dirkhonda
1005,public,1st Grade Vocabulary Cards,Learning Resources,1,1st_grade_vocabulary_cards_2.jpg|1st_grade_vocabulary_cards_3.jpg|1st_grade_vocabulary_cards_4.jpg,Vocabulary,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,1st_grade_vocabulary_cards_1.jpg,,open,open,,,dirkhonda
1006,public,6 Card Games Set,Brighter Child,1,6_card_games_set_2.jpg|6_card_games_set_3.jpg|6_card_games_set_4.jpg|6_card_games_set_5.jpg|6_card_games_set_6.jpg,,,Strategy,yes,instock,yes,1,1,3,4,5,none,,visible,no,6_card_games_set_1.jpg,,open,open,,,dirkhonda
1009,public,Activity Dollar,Miniland,2,activity_dollar_2.jpg,Currency Games,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,activity_dollar_1.jpg,,open,open,,,dirkhonda
1010,public,Activity Lacing,Miniland,2,activity_lacing_2.jpg,Manual Dexterity,,Science,yes,instock,yes,1,1,3,4,5,none,,visible,no,activity_lacing_1.jpg,,open,open,,,dirkhonda
1012,public,Alphabet Go Fish,Peaceable Kingdom,1,alphabet_go_fish_2.jpg,Alphabet,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,alphabet_go_fish_1.jpg,,open,open,,,dirkhonda
1013,public,Alphabet Sequencing Puzzle,Lakeshore Learning,2,alphabet_sequencing_puzzle_2.jpg,Alphabet,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,alphabet_sequencing_puzzle_1.jpg,,open,open,,,dirkhonda
1014,public,Alphabet Train Puzzle,Melissa & Doug,1,,Alphabet,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,alphabet_train_puzzle_1.jpg,,open,open,,,dirkhonda
1015,public,Amazing Animals Now I'm Reading,Nora Gaydos,1,amazing_animals_now_i_m_reading_2.jpg,"Set of 10 books, Level 2 Beginner",,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,amazing_animals_now_i_m_reading_1.jpg,,open,open,,,dirkhonda
1016,public,Angles Flash Cards - Geometry,Learning Advantage,2,angles_flash_cards_geometry_2.jpg,Geometry Angles Flash Cards,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,angles_flash_cards_geometry_1.jpg,,open,open,,,dirkhonda
